Id;Namn;Ägare;Nät;Latitud;Longitud;Höjd (m);Från;Till;Aktiv;Mobil;Vattendrag;Vattendragsnr;Area (km²)
162800;Farstugrunden Aut;SMHI;SMHIs stationsnät;65,3300;22,7500;1;1981-02-01;1995-12-22;Nej;Nej;undefined;NaN;NaN
95320;Fellingsbro-Finnåker;SMHI;SMHIs stationsnät;59,5345;15,5857;51;1982-09-01;1996-02-01;Nej;Nej;undefined;NaN;NaN
63650;Feringe;SMHI;SMHIs stationsnät;56,9500;13,9304;160;1951-01-01;1951-04-01;Nej;Nej;undefined;NaN;NaN
94430;Filipstad;SMHI;SMHIs stationsnät;59,7166;14,1666;141;1945-01-01;1976-07-01;Nej;Nej;undefined;NaN;NaN
107140;Film A;SMHI;SMHIs stationsnät;60,2358;17,9043;33,381;2000-05-31;2026-02-10;Ja;Ja;undefined;NaN;NaN
107130;Films Kyrkby;SMHI;SMHIs stationsnät;60,2357;17,9072;39;1982-02-01;2000-05-10;Nej;Nej;undefined;NaN;NaN
125020;Finneby;SMHI;SMHIs stationsnät;62,0424;15,4655;259;1976-12-01;1996-02-01;Nej;Nej;undefined;NaN;NaN
85410;Finspång;SMHI;SMHIs stationsnät;58,7104;15,8215;41;1990-11-01;1993-04-01;Nej;Nej;undefined;NaN;NaN
85430;Finspång;SMHI;SMHIs stationsnät;58,7150;15,7801;45;1879-04-01;1881-07-01;Nej;Nej;undefined;NaN;NaN
122360;Fjällnäs;SMHI;SMHIs stationsnät;62,5772;12,2223;780;1951-01-01;1996-02-01;Nej;Nej;undefined;NaN;NaN
136491;Fjällsjö;SMHI;SMHIs stationsnät;63,7972;16,4056;215;1941-10-01;1943-09-01;Nej;Nej;undefined;NaN;NaN
74420;Flahult;SMHI;SMHIs stationsnät;57,6898;14,1455;224;1902-01-01;2015-01-01;Nej;Nej;undefined;NaN;NaN
104390;Flaten;SMHI;SMHIs stationsnät;60,6510;14,4277;296;1994-01-01;1998-09-16;Nej;Nej;undefined;NaN;NaN
96040;Floda A;SMHI;SMHIs stationsnät;59,0558;16,3944;31,337;1962-05-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
23066;Flykälen;SMHI;Övriga stationer;63,8582;15,0148;0;2025-12-11;2026-02-10;Ja;Ja;undefined;NaN;NaN
63190;Flåss myr;SMHI;SMHIs stationsnät;56,3806;13,4819;125;1945-01-01;1947-05-01;Nej;Nej;undefined;NaN;NaN
112510;Flötningen;SMHI;SMHIs stationsnät;61,8526;12,2689;670;1969-12-01;1986-03-01;Nej;Nej;undefined;NaN;NaN
106071;Folkarbo;SMHI;SMHIs stationsnät;60,1021;16,2159;110;1918-07-01;1919-01-01;Nej;Nej;undefined;NaN;NaN
106100;Folkärna;SMHI;SMHIs stationsnät;60,1690;16,3125;68;1951-01-01;1996-02-01;Nej;Nej;undefined;NaN;NaN
137080;Forse;SMHI;SMHIs stationsnät;63,1461;17,0223;125,604;1901-07-01;2024-07-01;Nej;Nej;undefined;NaN;NaN
93580;Forshult;SMHI;SMHIs stationsnät;59,9445;13,5335;110;1945-01-01;1974-01-01;Nej;Nej;undefined;NaN;NaN
75710;Forsnäs;SMHI;SMHIs stationsnät;57,8500;15,2166;190;1936-04-01;1944-02-01;Nej;Nej;undefined;NaN;NaN
148050;Fredrika;SMHI;SMHIs stationsnät;64,0763;18,4190;300;1946-02-01;1996-01-01;Nej;Nej;undefined;NaN;NaN
148040;Fredrika A;SMHI;SMHIs stationsnät;64,0744;18,3619;327,684;1996-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
104090;Fredriksberg;SMHI;SMHIs stationsnät;60,1417;14,3909;304,749;1921-07-01;2023-08-01;Nej;Nej;undefined;NaN;NaN
72471;Fristad;SMHI;SMHIs stationsnät;57,8292;12,9972;148;1925-08-01;1934-01-01;Nej;Nej;undefined;NaN;NaN
126630;Fränsta;SMHI;SMHIs stationsnät;62,5000;16,1833;110;1932-06-01;1964-01-01;Nej;Nej;undefined;NaN;NaN
126300;Fränsta 2;SMHI;SMHIs stationsnät;62,5165;16,2084;110;1945-01-01;1996-01-01;Nej;Nej;undefined;NaN;NaN
63530;Fröslida;SMHI;SMHIs stationsnät;56,8666;13,0666;70;1952-03-01;1972-06-01;Nej;Nej;undefined;NaN;NaN
134130;Frösön D;SMHI;SMHIs stationsnät;63,1947;14,4898;375;2002-11-01;2006-07-01;Nej;Nej;undefined;NaN;NaN
151550;Furuögrund;SMHI;SMHIs stationsnät;64,9112;21,2263;10;1969-11-01;1983-09-01;Nej;Nej;undefined;NaN;NaN
73390;Fägerhult;SMHI;SMHIs stationsnät;57,6468;13,2369;170;2001-07-01;2010-07-01;Nej;Nej;undefined;NaN;NaN
84390;Fägre;SMHI;SMHIs stationsnät;58,6493;14,1265;95;1965-06-19;1992-09-01;Nej;Nej;undefined;NaN;NaN
160750;Fällfors;SMHI;SMHIs stationsnät;65,1089;20,7652;195;1996-05-01;2005-07-01;Nej;Nej;undefined;NaN;NaN
160740;Fällfors;SMHI;SMHIs stationsnät;65,1317;20,7891;195;1956-08-01;1996-01-01;Nej;Nej;undefined;NaN;NaN
95480;Färna;SMHI;SMHIs stationsnät;59,7833;15,8611;80;1921-01-01;1928-09-01;Nej;Nej;undefined;NaN;NaN
79580;Fårö;SMHI;SMHIs stationsnät;57,8987;19,1592;8;1937-04-01;1996-01-01;Nej;Nej;undefined;NaN;NaN
78550;Fårösund Ar A;SMHI;SMHIs stationsnät;57,9165;18,9533;12,756;1995-08-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
134410;Föllinge A;SMHI;SMHIs stationsnät;63,6761;14,6048;361,8;1995-12-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
134460;Föllinge-Vägskälet;SMHI;SMHIs stationsnät;63,7606;14,4323;475;1980-02-01;1995-12-01;Nej;Nej;undefined;NaN;NaN
94410;Gammalkroppa;SMHI;SMHIs stationsnät;59,6833;14,3166;200;1921-07-01;1976-06-01;Nej;Nej;undefined;NaN;NaN
